,mean_us,n_used
Q1,2033.021505376344,93
Q2,3057.1397849462364,93
Q3,2419.3655913978496,93
Q4,2006.989247311828,93
Q5,3444.3118279569894,93
Q6,1851.3333333333333,93
Q7,3446.1290322580644,93
Q8,3864.8172043010754,93
Q9,3611.52688172043,93
Q10,2770.8172043010754,93
Q11,2591.2258064516127,93
Q12,2243.2473118279568,93
Q13,2196.2580645161293,93
Q14,2362.0967741935483,93
Q15,4771.677419354839,93
Q16,2393.7311827956987,93
Q17,1913.0860215053763,93
Q18,2396.3440860215055,93
Q19,2079.4086021505377,93
Q20,2249.0860215053763,93
Q21,2597.064516129032,93
Q22,1778.4086021505377,93

